Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
1/2/2017,8:53:12,1433000,Walk,90013,auto_detected,2299,0,18.288,167,0,3,7,13,81,23,0,0,0
1/3/2017,8:34:52,1280000,Walk,90013,auto_detected,1848,0,15.24,140,2,19,0,0,87,15,7,0,0
1/4/2017,8:30:11,1178000,Walk,90013,auto_detected,2017,0,9.144,152,0,0,2,17,94,9,9,0,0
1/4/2017,13:40:49,1125000,Walk,90013,auto_detected,2008,0,9.144,162,0,1,0,18,109,1,15,2,0
1/5/2017,0:09:43,922000,Walk,90013,auto_detected,1682,0,15.24,178,0,0,1,15,148,0,2,2,7
1/6/2017,16:58:16,1614000,Run,90009,tracker,4384,4.846559,27.737,361,0,0,0,27,152,0,1,17,9
1/6/2017,21:13:57,1382000,Walk,90013,auto_detected,2420,0,6.045,186,0,0,3,20,95,11,9,2,0
1/7/2017,16:13:04,1849000,Walk,90013,auto_detected,1731,0,0,202,3,5,9,13,101,7,18,1,1
1/8/2017,12:46:36,3067000,Run,90009,tracker,8099,9.023919,50.597,672,0,0,1,49,152,0,1,31,18
1/9/2017,21:50:15,1178000,Walk,90013,auto_detected,1964,0,24.028,138,0,0,8,11,87,11,5,0,0
1/10/2017,14:02:12,1946000,Walk,90013,auto_detected,3012,0,15.24,243,0,3,4,25,92,10,15,1,0
1/10/2017,17:10:18,2183000,Run,90009,tracker,5979,6.485649,45.11,466,0,0,0,36,147,1,1,34,1
1/12/2017,19:55:30,1588000,Walk,90013,auto_detected,2775,0,12.192,214,0,1,2,23,105,6,16,2,0
1/13/2017,18:10:20,1935000,Run,90009,tracker,5225,5.763269,42.367,414,0,0,0,31,150,0,1,25,5
1/14/2017,9:54:16,1774000,Run,90009,tracker,4739,5.270679,59.436,378,0,0,0,28,151,0,0,22,6
1/14/2017,16:52:55,921000,Walk,90013,auto_detected,1224,0,0,113,0,0,7,9,97,4,12,0,0
1/14/2017,19:17:08,3328000,Walk,90013,auto_detected,4041,0,0,353,5,11,5,34,92,23,31,0,0
1/15/2017,4:24:07,1330000,Walk,90013,auto_detected,1895,0,0,145,1,11,1,9,87,12,10,0,0
