SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1/24/2014 12:00:00 AM,1,520,533
3/29/2014 12:00:00 AM,1,769,961
10/11/2014 12:00:00 AM,1,416,459
10/12/2014 12:00:00 AM,1,488,520
10/13/2014 12:00:00 AM,1,431,459
10/14/2014 12:00:00 AM,1,251,268
10/15/2014 12:00:00 AM,1,440,481
10/16/2014 12:00:00 AM,1,352,388
10/17/2014 12:00:00 AM,1,347,392
10/18/2014 12:00:00 AM,1,324,349
10/19/2014 12:00:00 AM,1,373,405
10/20/2014 12:00:00 AM,1,471,535
10/21/2014 12:00:00 AM,1,403,440
10/22/2014 12:00:00 AM,1,421,457
10/23/2014 12:00:00 AM,1,477,479
10/24/2014 12:00:00 AM,1,515,517
10/25/2014 12:00:00 AM,1,570,572
10/28/2014 12:00:00 AM,1,516,518
10/29/2014 12:00:00 AM,1,506,509
10/30/2014 12:00:00 AM,1,208,208
10/31/2014 12:00:00 AM,1,603,606
10/11/2015 12:00:00 AM,1,118,153
1/22/2016 12:00:00 AM,1,848,961
10/2/2016 12:00:00 AM,1,571,620
10/3/2016 12:00:00 AM,1,432,489
10/4/2016 12:00:00 AM,1,371,409
10/5/2016 12:00:00 AM,1,437,484
10/6/2016 12:00:00 AM,1,455,467
10/7/2016 12:00:00 AM,1,466,473
10/8/2016 12:00:00 AM,1,401,451
10/9/2016 12:00:00 AM,1,381,432
10/10/2016 12:00:00 AM,1,395,435
10/11/2016 12:00:00 AM,1,396,399
10/12/2016 12:00:00 AM,1,415,467
10/13/2016 12:00:00 AM,1,340,368
10/14/2016 12:00:00 AM,1,360,391
10/15/2016 12:00:00 AM,1,589,606
10/16/2016 12:00:00 AM,1,463,498
10/17/2016 12:00:00 AM,1,441,484
10/18/2016 12:00:00 AM,2,345,371
10/19/2016 12:00:00 AM,1,406,447
10/20/2016 12:00:00 AM,1,398,409
10/21/2016 12:00:00 AM,1,405,436
10/22/2016 12:00:00 AM,1,359,401
10/23/2016 12:00:00 AM,1,466,514
10/24/2016 12:00:00 AM,1,377,417
10/25/2016 12:00:00 AM,1,400,441
10/26/2016 12:00:00 AM,1,340,365
10/27/2016 12:00:00 AM,1,407,444
10/28/2016 12:00:00 AM,1,457,499
10/29/2016 12:00:00 AM,1,519,567
10/30/2016 12:00:00 AM,1,402,439
10/31/2016 12:00:00 AM,1,460,496
11/1/2016 12:00:00 AM,1,419,467
11/2/2016 12:00:00 AM,1,417,459
11/3/2016 12:00:00 AM,1,373,419
11/4/2016 12:00:00 AM,1,425,465
11/5/2016 12:00:00 AM,1,73,84
11/6/2016 12:00:00 AM,1,451,457
11/7/2016 12:00:00 AM,1,516,567
11/8/2016 12:00:00 AM,1,368,404
11/9/2016 12:00:00 AM,1,482,496
11/11/2016 12:00:00 AM,1,418,423
11/12/2016 12:00:00 AM,1,513,545
11/13/2016 12:00:00 AM,1,454,499
