LogId,StartTime,Duration,Efficiency,IsMainSleep,SleepDataType,MinutesAfterWakeUp,MinutesAsleep,MinutesToFallAsleep,TimeInBed,ClassicAsleepCount,ClassicAsleepDuration,ClassicAwakeCount,ClassicAwakeDuration,ClassicRestlessCount,ClassicRestlessDuration,StagesWakeCount,StagesWakeDuration,StagesWakeThirtyDayAvg,StagesLightCount,StagesLightDuration,StagesLightThirtyDayAvg,StagesDeepCount,StagesDeepDuration,StagesDeepThirtyDayAvg,StagesREMCount,StagesREMDuration,StagesREMThirtyDayAvg
16421756312,11/24/2017 10:47:00 PM,36780000,89,True,stages,1,516,0,613,,,,,,,36,97,70,37,351,227,5,94,97,10,71,93
16425470774,11/25/2017 9:50:30 PM,36420000,84,True,stages,0,515,0,607,,,,,,,48,92,71,47,345,231,5,81,97,15,89,93
16438965287,11/26/2017 11:14:00 PM,29760000,93,True,stages,0,436,0,496,,,,,,,38,60,72,32,222,236,4,121,96,13,93,93
16446941440,11/28/2017 12:30:00 AM,18240000,93,True,stages,0,247,0,304,,,,,,,19,57,72,23,127,237,4,64,98,5,56,93
16457569470,11/28/2017 10:39:00 PM,31380000,90,True,stages,0,431,0,523,,,,,,,35,92,72,29,242,233,4,90,97,14,99,92
16465755051,11/29/2017 10:51:00 PM,31260000,91,True,stages,0,442,0,521,,,,,,,33,79,73,31,255,234,4,104,97,9,83,93
16474772110,11/30/2017 11:31:30 PM,26640000,95,True,stages,1,367,0,444,,,,,,,29,77,74,28,209,236,5,80,97,9,78,92
16483106612,12/1/2017 10:40:00 PM,32760000,90,True,stages,0,491,0,546,,,,,,,35,55,73,31,258,234,5,91,95,16,142,92
16491726096,12/2/2017 11:43:30 PM,32700000,92,True,stages,0,447,0,545,,,,,,,32,98,73,29,292,236,5,83,94,11,72,93
16500121491,12/3/2017 10:42:00 PM,31140000,90,True,stages,0,459,0,519,,,,,,,36,60,73,32,255,238,4,99,94,13,105,93
16509089615,12/4/2017 10:42:30 PM,30120000,90,True,stages,0,418,0,502,,,,,,,34,84,72,33,261,237,6,97,94,9,60,93
16517431455,12/5/2017 11:38:30 PM,21900000,90,True,stages,1,318,0,365,,,,,,,24,47,72,21,165,238,5,75,92,10,78,91
16527614431,12/6/2017 10:34:30 PM,30780000,94,True,stages,0,446,0,513,,,,,,,29,67,71,29,232,235,4,109,92,9,105,91
16538069442,12/7/2017 10:25:00 PM,33600000,92,True,stages,0,474,0,560,,,,,,,40,86,71,43,298,236,5,97,93,10,79,92
16546389865,12/8/2017 11:54:30 PM,31620000,91,True,stages,1,445,0,527,,,,,,,35,82,72,28,244,239,5,101,93,14,100,92
16554833269,12/10/2017 12:52:00 AM,32940000,92,True,stages,0,460,0,549,,,,,,,29,89,73,33,279,240,3,120,94,7,61,92
16563534880,12/10/2017 11:49:30 PM,27540000,96,True,stages,0,371,0,459,,,,,,,41,88,73,37,185,242,5,129,94,10,57,90
16572148189,12/11/2017 10:33:00 PM,31500000,87,True,stages,0,416,0,525,,,,,,,31,109,74,30,251,241,6,105,95,9,60,88
16580442983,12/12/2017 11:09:30 PM,27780000,88,True,stages,2,407,0,463,,,,,,,25,56,75,25,217,241,3,88,95,13,102,86
16589963167,12/13/2017 11:29:30 PM,29880000,96,True,stages,0,422,0,498,,,,,,,28,76,74,26,246,241,4,68,94,10,108,87
16598657411,12/14/2017 11:19:30 PM,28980000,89,True,stages,0,404,0,483,,,,,,,30,79,74,34,260,242,7,98,94,6,46,88
16607205982,12/15/2017 11:14:30 PM,34380000,91,True,stages,0,486,0,573,,,,,,,36,87,74,37,285,243,7,106,93,15,95,87
16614381349,12/16/2017 11:13:00 PM,29820000,91,True,stages,0,426,0,497,,,,,,,34,71,75,30,265,244,4,79,94,11,82,88
16623098451,12/17/2017 11:08:00 PM,29040000,90,True,stages,0,401,0,484,,,,,,,35,83,76,38,261,247,4,84,94,9,56,87
16631790246,12/19/2017 12:09:00 AM,17700000,95,True,stages,0,233,0,295,,,,,,,12,62,76,14,147,248,3,65,94,3,21,85
16642162268,12/19/2017 9:34:30 PM,29400000,97,True,stages,0,412,0,490,,,,,,,32,78,75,30,264,245,2,85,91,9,63,82
16651006514,12/20/2017 10:46:30 PM,32280000,90,True,stages,5,463,0,538,,,,,,,35,75,76,36,268,244,5,100,91,10,95,81
16658545862,12/21/2017 11:34:30 PM,27180000,91,True,stages,0,392,0,453,,,,,,,22,61,77,23,203,246,3,91,92,6,98,82
16665888081,12/22/2017 11:28:30 PM,27180000,90,True,stages,1,373,0,453,,,,,,,29,80,76,27,203,246,3,87,92,11,83,82
16675803868,12/24/2017 12:11:30 AM,35220000,89,True,stages,1,487,0,587,,,,,,,34,100,77,33,247,247,3,124,93,14,116,83
16681706549,12/25/2017 12:03:00 AM,25860000,97,True,stages,0,361,0,431,,,,,,,29,70,78,29,237,245,3,63,94,10,61,82
16692102508,12/25/2017 11:16:30 PM,34380000,90,True,stages,0,498,0,573,,,,,,,44,75,77,35,281,241,4,116,93,18,101,81
16701604358,12/26/2017 10:48:00 PM,30360000,94,True,stages,0,429,0,506,,,,,,,34,77,76,35,267,239,3,97,94,7,65,82
16712590783,12/27/2017 10:19:30 PM,32700000,91,True,stages,1,460,0,545,,,,,,,38,85,77,33,229,240,5,121,93,15,110,81
16722389849,12/28/2017 11:16:00 PM,30480000,90,True,stages,4,438,0,508,,,,,,,27,70,78,24,244,244,5,87,95,12,107,83
16733107562,12/29/2017 11:51:30 PM,36540000,89,True,stages,0,528,0,609,,,,,,,41,81,77,38,321,244,3,83,95,13,124,83
16741727528,12/31/2017 12:02:00 AM,32160000,98,True,stages,0,461,0,536,,,,,,,40,75,77,35,283,246,3,66,94,15,112,84
16747680646,1/1/2018 2:14:30 AM,3660000,93,False,classic,1,56,0,61,0,56,1,1,3,4,,,,,,,,,,,,
16752770420,1/1/2018 4:17:00 AM,21900000,96,True,stages,0,335,0,365,,,,,,,16,30,77,18,231,248,3,63,94,4,41,85
16763050040,1/1/2018 11:34:00 PM,29460000,91,True,stages,0,432,0,491,,,,,,,41,59,76,42,288,247,3,64,93,8,80,82
16773560462,1/2/2018 11:39:00 PM,27720000,92,True,stages,0,395,0,462,,,,,,,30,67,75,25,223,247,4,76,92,15,96,82
16784653402,1/3/2018 11:40:00 PM,27360000,95,True,stages,0,393,0,456,,,,,,,36,63,75,31,246,246,4,64,91,13,83,82
16794358757,1/5/2018 12:01:00 AM,25140000,95,True,stages,0,349,0,419,,,,,,,29,70,74,21,189,246,3,75,90,13,85,83
16805117434,1/6/2018 12:01:00 AM,32340000,96,True,stages,0,446,0,539,,,,,,,39,93,75,43,245,246,6,116,90,12,85,83
16815275302,1/6/2018 10:48:30 PM,34440000,91,True,stages,5,494,0,574,,,,,,,43,80,76,33,267,247,3,106,91,19,121,82
16816784830,1/7/2018 11:09:30 AM,4920000,100,False,classic,0,82,0,82,0,82,0,0,0,0,,,,,,,,,,,,
16826332572,1/7/2018 11:21:00 PM,28440000,88,True,stages,0,395,0,474,,,,,,,28,79,76,26,224,246,4,114,91,9,57,84
16837352138,1/8/2018 11:23:00 PM,27540000,88,True,stages,0,382,0,459,,,,,,,29,77,76,26,204,245,3,106,91,9,72,82
16846684422,1/9/2018 11:55:30 PM,15000000,90,True,stages,0,192,0,250,,,,,,,15,58,75,19,135,243,2,39,91,3,18,83
16859295450,1/10/2018 10:27:30 PM,25260000,97,True,stages,1,361,0,421,,,,,,,25,60,74,24,208,241,4,81,88,8,72,81
16871909402,1/11/2018 11:19:00 PM,27300000,92,True,stages,0,401,0,455,,,,,,,32,54,73,25,225,240,3,91,87,15,85,82
16882281739,1/13/2018 12:39:00 AM,26340000,96,True,stages,7,388,0,439,,,,,,,32,51,73,31,202,240,3,106,87,8,80,81
16893034576,1/13/2018 11:01:30 PM,32940000,96,True,stages,0,473,0,549,,,,,,,42,76,72,43,310,238,5,68,88,10,95,80
16904092259,1/14/2018 11:05:00 PM,31680000,89,True,stages,0,466,0,528,,,,,,,42,62,72,44,279,240,5,75,87,12,112,82
16909664383,1/15/2018 8:13:00 PM,6480000,88,False,classic,0,95,0,108,0,95,0,0,7,13,,,,,,,,,,,,
16915888399,1/15/2018 11:22:00 PM,27780000,92,True,stages,0,405,0,463,,,,,,,33,58,71,27,239,240,2,93,86,8,73,83
16927416712,1/16/2018 11:34:30 PM,29460000,87,True,stages,0,433,0,491,,,,,,,45,58,70,36,256,239,3,83,87,16,94,82
16939085301,1/17/2018 11:06:00 PM,29040000,89,True,stages,0,410,13,484,,,,,,,35,74,69,29,252,239,4,75,87,13,83,84
16950725081,1/18/2018 10:45:30 PM,31980000,89,True,stages,0,452,0,533,,,,,,,42,81,70,35,223,242,5,97,87,18,132,86
16971266512,1/20/2018 10:28:30 PM,34200000,88,True,stages,0,476,0,570,,,,,,,33,94,70,29,250,240,4,117,87,15,109,88
16980976614,1/21/2018 10:52:00 PM,19500000,95,True,stages,1,267,0,325,,,,,,,14,58,71,14,132,242,4,78,88,7,57,88
16995134242,1/22/2018 11:18:30 PM,29040000,91,True,stages,0,402,0,484,,,,,,,35,82,70,37,250,239,5,89,88,9,63,87
17005911971,1/23/2018 11:08:30 PM,30360000,97,True,stages,0,431,0,506,,,,,,,38,75,70,35,259,239,2,75,87,13,97,85
17016828485,1/24/2018 11:13:00 PM,29760000,87,True,stages,0,422,0,496,,,,,,,42,74,70,45,257,240,6,90,87,12,75,87
17026334330,1/25/2018 11:20:00 PM,20580000,89,True,stages,0,284,0,343,,,,,,,23,59,70,23,196,239,2,45,86,3,43,86
17037188868,1/26/2018 11:15:00 PM,27960000,98,True,stages,0,396,5,466,,,,,,,28,70,69,27,187,237,4,124,84,8,85,85
17048133959,1/27/2018 11:06:30 PM,29340000,96,True,stages,0,424,0,489,,,,,,,36,65,69,25,237,235,4,82,84,19,105,84
