SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalTimeAwake,TotalMinutesLight,TotalMinutesDeep,TotalMinutesREM
8/11/2017 12:00:00 AM,0,0,0,0,0,0,0
8/12/2017 12:00:00 AM,1,450,539,89,306,92,52
8/13/2017 12:00:00 AM,1,418,473,55,291,68,59
8/14/2017 12:00:00 AM,1,440,509,69,227,105,108
8/15/2017 12:00:00 AM,1,399,448,49,203,98,98
8/16/2017 12:00:00 AM,1,352,409,57,197,66,89
8/17/2017 12:00:00 AM,1,480,565,85,303,84,93
8/18/2017 12:00:00 AM,1,414,487,73,247,101,66
8/19/2017 12:00:00 AM,1,391,460,69,243,77,71
8/20/2017 12:00:00 AM,1,450,542,92,282,63,105
8/21/2017 12:00:00 AM,1,474,565,91,294,98,82
8/22/2017 12:00:00 AM,1,438,517,79,295,53,90
8/23/2017 12:00:00 AM,1,399,470,71,236,87,76
8/24/2017 12:00:00 AM,1,393,470,77,248,70,75
8/25/2017 12:00:00 AM,2,562,666,94,273,129,84
8/26/2017 12:00:00 AM,1,108,116,0,0,0,0
8/27/2017 12:00:00 AM,1,546,639,93,393,80,73
8/28/2017 12:00:00 AM,1,373,436,63,265,66,42
8/29/2017 12:00:00 AM,1,396,481,85,278,53,65
8/30/2017 12:00:00 AM,1,427,508,81,257,99,71
8/31/2017 12:00:00 AM,1,362,445,83,250,74,38
9/1/2017 12:00:00 AM,1,425,502,77,214,119,92
9/2/2017 12:00:00 AM,1,426,504,78,250,74,102
9/3/2017 12:00:00 AM,1,407,475,68,225,102,80
9/4/2017 12:00:00 AM,1,418,512,94,253,112,53
9/5/2017 12:00:00 AM,1,408,471,0,0,0,0
9/6/2017 12:00:00 AM,1,440,546,106,249,106,85
9/7/2017 12:00:00 AM,1,411,513,102,254,81,76
9/8/2017 12:00:00 AM,1,390,481,91,274,72,44
9/9/2017 12:00:00 AM,1,438,505,67,275,100,63
9/10/2017 12:00:00 AM,1,496,570,74,291,101,104
9/11/2017 12:00:00 AM,1,355,415,60,201,69,85
9/12/2017 12:00:00 AM,1,367,392,0,0,0,0
9/13/2017 12:00:00 AM,1,400,473,73,228,83,89
9/14/2017 12:00:00 AM,1,400,475,75,218,86,96
9/15/2017 12:00:00 AM,1,425,509,84,242,116,67
9/16/2017 12:00:00 AM,1,481,543,62,271,114,96
9/17/2017 12:00:00 AM,1,391,481,90,260,67,64
9/18/2017 12:00:00 AM,1,395,473,78,227,90,78
9/19/2017 12:00:00 AM,1,416,492,76,261,92,63
9/20/2017 12:00:00 AM,1,381,454,73,215,61,105
9/21/2017 12:00:00 AM,1,376,458,82,217,74,85
9/22/2017 12:00:00 AM,1,409,465,56,242,84,83
9/23/2017 12:00:00 AM,1,429,516,87,248,105,76
9/24/2017 12:00:00 AM,1,518,600,82,323,95,100
9/25/2017 12:00:00 AM,1,378,471,93,251,79,48
9/26/2017 12:00:00 AM,1,398,483,85,208,105,85
9/27/2017 12:00:00 AM,1,428,514,86,258,99,71
9/28/2017 12:00:00 AM,1,403,474,71,217,101,85
9/29/2017 12:00:00 AM,1,382,487,105,211,113,58
9/30/2017 12:00:00 AM,1,472,564,92,216,130,126
10/1/2017 12:00:00 AM,1,460,531,71,295,89,76
10/2/2017 12:00:00 AM,1,429,504,75,244,85,100
10/3/2017 12:00:00 AM,1,421,489,68,273,73,75
10/4/2017 12:00:00 AM,1,387,437,50,216,73,98
10/5/2017 12:00:00 AM,1,325,381,56,197,59,69
10/6/2017 12:00:00 AM,1,360,419,59,178,85,97
10/7/2017 12:00:00 AM,1,339,397,58,150,100,89
10/8/2017 12:00:00 AM,1,442,529,87,236,112,94
10/9/2017 12:00:00 AM,1,473,555,82,258,146,69
10/10/2017 12:00:00 AM,1,433,501,68,254,76,103
10/11/2017 12:00:00 AM,1,471,539,68,245,113,113
10/12/2017 12:00:00 AM,1,378,455,77,239,70,69
10/13/2017 12:00:00 AM,1,393,476,83,258,83,52
10/14/2017 12:00:00 AM,1,440,511,71,234,97,109
10/15/2017 12:00:00 AM,1,438,532,94,299,80,59
10/16/2017 12:00:00 AM,1,425,465,0,0,0,0
10/17/2017 12:00:00 AM,1,409,507,98,244,119,46
10/18/2017 12:00:00 AM,1,407,471,64,215,108,84
10/19/2017 12:00:00 AM,1,402,454,52,235,65,102
10/20/2017 12:00:00 AM,1,475,559,84,237,111,127
10/21/2017 12:00:00 AM,1,572,653,81,330,103,139
10/22/2017 12:00:00 AM,1,507,580,73,314,86,107
10/23/2017 12:00:00 AM,1,349,410,61,181,88,80
10/24/2017 12:00:00 AM,1,418,480,62,210,98,110
10/25/2017 12:00:00 AM,1,364,428,64,168,113,83
10/26/2017 12:00:00 AM,1,382,444,62,238,88,56
10/27/2017 12:00:00 AM,1,399,459,60,198,105,96
10/28/2017 12:00:00 AM,1,358,416,58,200,73,85
10/29/2017 12:00:00 AM,1,404,462,58,233,84,87
10/30/2017 12:00:00 AM,1,400,469,69,224,95,81
10/31/2017 12:00:00 AM,1,410,472,62,194,108,108
11/1/2017 12:00:00 AM,1,481,564,83,262,134,85
11/2/2017 12:00:00 AM,1,406,471,65,206,108,92
11/3/2017 12:00:00 AM,1,434,533,99,238,102,94
11/4/2017 12:00:00 AM,1,451,535,84,268,89,94
11/5/2017 12:00:00 AM,1,505,595,90,236,144,125
11/6/2017 12:00:00 AM,1,382,464,82,244,75,63
11/7/2017 12:00:00 AM,1,359,422,63,198,81,80
11/8/2017 12:00:00 AM,1,395,457,62,215,98,82
11/9/2017 12:00:00 AM,1,391,441,50,222,75,94
11/10/2017 12:00:00 AM,1,477,553,76,228,116,133
11/11/2017 12:00:00 AM,2,486,575,78,220,100,103
11/12/2017 12:00:00 AM,1,476,552,76,227,124,125
11/13/2017 12:00:00 AM,1,402,492,90,219,101,82
11/14/2017 12:00:00 AM,1,361,426,65,223,71,67
11/15/2017 12:00:00 AM,1,425,503,78,229,114,82
11/16/2017 12:00:00 AM,1,406,473,67,264,85,57
